15/07/2017,16:14:44,571000,959729,750477,933400,458150,723809,726924,181055,60200,14517,570746,960259,750408,932007,457450,723315,728544,180730,60110,14515,570788,958749,751134,933317,459210,725594,726546,181357,60529,14631,32.0
15/07/2017,16:17:44,571056,960731,751274,934029,459764,726477,727782,181826,60605,14630,571382,960117,751486,934158,460413,726956,727563,181843,60787,14725,571763,960390,751686,934656,460918,727344,728069,181307,60841,14735,32.1
15/07/2017,16:20:45,572260,961115,753558,936608,462408,729699,728931,182805,61102,14823,572535,960712,752284,935522,462230,727842,728535,182199,60968,14775,571535,960654,750961,933176,459322,725330,727480,180435,60612,14705,32.2
15/07/2017,16:23:45,571563,960183,750446,932707,459044,726032,727325,180182,60740,14737,572145,960075,751095,933467,459701,726208,727992,180245,60924,14812,572422,960152,752056,935777,461681,727117,728024,181290,61042,14832,32.4
15/07/2017,16:26:45,572420,961690,752330,936903,464633,732122,729265,184063,61617,14998,572397,961654,752527,935144,461953,727964,727550,182606,61131,14877,572500,961034,751358,934708,462343,728690,728473,182430,61177,14892,32.6
15/07/2017,16:29:45,572100,959613,752226,935422,461336,727553,727181,180793,61061,14829,571969,960979,751294,934415,460245,726445,727801,180564,61012,14878,572854,960986,751564,935272,462194,727837,727600,181130,61199,14913,32.6
15/07/2017,16:32:45,571601,959446,750608,932843,459535,725317,727266,177953,60914,14853,572332,960651,750796,933812,461452,727334,727464,178439,61033,14882,572310,960250,751286,933543,460342,725632,727136,177891,60916,14853,32.8
15/07/2017,16:44:45,572542,959738,749921,934441,463377,729844,727254,178384,61738,15152,572991,960227,750827,934545,463431,727735,727172,177706,61657,15151,573464,960643,751483,936348,466124,732257,728608,179606,62181,15264,33.6
15/07/2017,16:47:45,574222,960339,750656,934582,464288,730814,727813,179574,62144,15271,573281,960744,751305,936910,466419,732336,728138,180350,62338,15325,574080,961011,752333,937837,467177,732468,728829,180256,62356,15334,33.5
15/07/2017,16:50:45,573687,962346,752274,936288,465696,732034,728063,179368,62267,15318,573284,961011,751391,934714,465540,730425,726810,178165,61882,15217,572939,961630,751126,935389,464508,729510,727266,178149,61789,15224,33.6
15/07/2017,16:53:45,572227,960645,749079,931489,461036,725573,726669,176946,61390,15076,571965,960694,750766,930293,461787,726335,726470,176732,61595,15130,573121,959844,749792,933057,463542,728025,726495,177362,61803,15204,33.8
15/07/2017,16:56:45,572867,961685,749490,933271,463258,728396,727333,178538,61956,15222,573533,960855,749312,932814,463151,727185,726274,177521,61724,15185,573427,962020,750332,933071,464447,727641,726235,177564,61797,15214,33.9
15/07/2017,16:59:45,574185,961569,751166,934819,465279,732133,727789,179888,62192,15337,574359,963271,751890,934969,465965,731244,728585,180602,62345,15396,574722,961487,750973,934177,466126,730647,729306,179552,62156,15364,34.2
15/07/2017,17:02:45,575795,961769,751771,936169,467306,734151,727877,180757,62476,15407,575420,961970,752074,937245,467178,733491,727987,180747,62348,15377,574311,961811,750607,934053,465072,730094,727706,179605,62153,15320,34.5
15/07/2017,17:05:45,575283,961371,751212,935764,466546,732465,727530,180128,62405,15431,574950,962982,751085,935940,466982,731432,728439,179663,62377,15427,575498,962694,751811,934717,466304,731692,727181,179834,62441,15424,34.8
15/07/2017,17:08:45,576179,964957,752648,939188,471064,738601,729359,184700,63194,15669,576104,963318,753316,939645,470381,735920,729201,183596,63024,15617,576275,963962,753095,938400,469866,734574,729657,183484,62918,15564,35.0
15/07/2017,17:11:45,576545,963330,753362,938568,470161,736898,729691,185648,63045,15613,577308,964505,753371,941132,472449,739740,730218,189378,63569,15774,577889,964321,753875,941516,473241,740036,729396,189393,63599,15774,35.1
15/07/2017,17:14:45,576794,964910,753228,940811,472789,740675,730175,190187,63594,15804,577172,964008,752930,939394,471892,737592,729551,187495,63278,15725,577042,961777,752135,939866,471203,735636,729350,186510,63127,15670,35.1
15/07/2017,17:17:45,575869,961986,751088,935734,466669,733617,726372,181771,62503,15490,575420,961518,750516,936600,468006,732645,728473,183147,62862,15593,577864,963114,753544,940120,472533,739687,730060,188952,63999,15933,35.4
15/07/2017,17:20:45,578448,964547,754604,944189,475193,741653,729842,191208,64100,15953,578102,964653,754050,942689,475629,742383,730430,191704,63890,15906,578393,964961,753421,941589,473913,740138,730416,189861,63887,15896,35.6
15/07/2017,17:23:45,577671,963308,753066,941354,473517,741386,729788,190903,63910,15954,579088,964768,754280,943600,476530,743989,730992,192859,64195,15982,578890,964082,753821,942104,476054,742747,731047,192218,64198,15943,35.7
15/07/2017,17:26:45,579100,964458,754056,944822,477917,746080,730938,191314,64444,16058,579282,965583,753861,943071,476222,743349,731157,191919,64240,16043,579184,964215,753742,942452,476048,743061,731005,191877,64218,16013,35.7
15/07/2017,17:29:45,578116,964482,752334,940630,474853,742442,730079,188654,64075,15996,578261,963540,754088,942562,475750,742924,730776,190272,64442,16086,579288,965333,755036,944454,478600,746806,731292,192435,64734,16165,35.7
15/07/2017,17:32:45,574277,959220,745385,937277,472722,740576,729091,189788,63899,15984,578772,964163,755364,945220,478975,745938,731298,191990,64734,16181,579181,964854,754796,944697,478308,745482,731257,191507,64665,16188,35.6
15/07/2017,17:44:45,580250,965272,756203,947127,481312,750017,731713,194908,65226,16362,580176,965557,755973,946734,481690,748459,731991,193495,65144,16320,579450,963794,754374,945120,479495,746256,730716,191014,64780,16236,35.9
15/07/2017,17:47:45,579415,962791,756563,945462,481193,749658,730609,191083,65428,16432,580652,964145,756116,946442,482688,750717,731622,191933,65510,16434,580192,965075,756147,947127,481600,749537,732746,192202,65345,16430,35.9
15/07/2017,17:50:45,579980,965100,755441,947479,482409,749881,731689,191963,65555,16430,580503,966514,755329,946170,482383,750144,731913,191926,65571,16487,580076,965568,754020,946107,481387,748607,730890,190365,65195,16363,36.0
15/07/2017,17:53:45,580302,965223,755499,947221,482577,751409,731920,192276,65581,16477,580173,966859,754552,946813,482496,749368,731394,191841,65415,16407,579985,964724,754263,944010,480236,746558,729809,189771,65138,16351,36.1
15/07/2017,17:56:45,579399,963012,754311,946305,482375,750383,731352,190022,65427,16443,579363,963881,754565,945507,481257,748808,730623,189332,65334,16391,579374,964440,754231,945130,481035,748452,730772,189720,65215,16415,36.0
15/07/2017,17:59:45,579720,964495,755195,947088,482420,750428,731738,191456,65601,16496,580291,965386,755511,946990,482464,750475,730577,191660,65527,16497,580227,963573,755529,947690,483166,751027,731774,191917,65667,16535,36.0
15/07/2017,18:02:45,580087,965145,755366,947090,482669,750800,731784,191454,65574,16494,579894,965429,754751,946002,481648,748360,731458,189795,65357,16422,579237,964339,754538,945538,481238,748430,731377,190790,65540,16492,36.0
15/07/2017,18:05:45,578885,964912,755241,948471,482560,751935,731484,191121,65812,16609,581157,966028,756993,950370,486874,755337,733159,194617,66208,16697,580077,966461,757561,948257,484735,754623,732703,193004,65923,16590,35.9
15/07/2017,18:08:45,578803,964613,754782,945050,480862,748500,730147,189007,65255,16392,578748,965310,753194,944937,480819,747279,730451,188727,65241,16378,578353,964051,753880,943619,478977,745693,729811,186012,64862,16280,35.9
15/07/2017,18:11:45,579822,965417,754886,946411,482909,749441,731017,189829,65639,16540,579429,964700,754416,945639,481511,747303,730166,187938,65155,16365,577818,963853,752283,941584,477286,742585,729775,186295,64839,16338,36.0
15/07/2017,18:14:45,579004,964378,752946,944143,480277,746863,730456,187751,65152,16416,580599,964896,755424,948293,484892,752907,731941,193876,66119,16670,580692,966470,756333,949874,487363,755609,732803,197138,66392,16733,36.0
15/07/2017,18:17:45,579509,964256,755382,948608,485492,753542,731819,191855,66090,16631,579864,965276,756411,948663,485643,753486,732067,191446,66192,16687,580048,964318,755333,948900,485022,752839,731842,189221,65784,16582,36.0
15/07/2017,18:20:45,580089,965523,755062,947724,486041,755393,731169,190165,65865,16587,580252,964454,755195,949590,486445,753352,732401,192056,66331,16734,582287,968877,757147,953882,488199,758202,734159,196310,66750,16857,36.2
15/07/2017,18:23:45,581099,965970,756926,951043,487221,756356,732964,193282,66180,16712,581727,966472,756152,949373,484717,751983,732019,190839,65785,16570,579891,965228,754307,944373,480085,748174,729322,187323,65417,16436,36.5
15/07/2017,18:26:45,582820,967184,758380,953507,491240,761200,734109,198128,66942,16893,583255,966825,758406,952421,489708,759021,733519,194913,66588,16792,581681,966535,756930,951492,488339,756196,732911,192982,66534,16800,36.7
15/07/2017,18:29:45,582534,966642,756829,950643,487719,757079,733063,193008,66527,16784,582434,967325,757029,951123,488162,756698,733522,192707,66471,16778,582488,966597,757919,952204,488987,757508,733450,193980,66687,16849,36.8
15/07/2017,18:32:45,582710,966955,757964,952149,488927,759086,733481,194448,66734,16845,582821,967060,757772,952566,489690,757964,733568,194811,66793,16847,582649,966791,757415,952591,489436,758336,733388,193620,66658,16820,36.7
15/07/2017,18:44:45,582887,966413,757487,952585,489070,758583,733175,195054,66673,16826,582940,966699,757721,952604,489320,757494,733248,194589,66524,16790,582590,966332,756706,950078,487173,755194,732702,193568,66359,16747,37.2
15/07/2017,18:47:45,582190,966162,754560,950015,486797,755698,732278,193323,66398,16729,582815,964928,757833,953120,489424,757711,733556,195309,66585,16819,582943,967322,756841,953322,489305,757968,733051,194783,66546,16771,37.3
15/07/2017,18:50:45,583672,967473,758771,954416,491989,762336,735076,200061,67246,16957,584691,967586,758047,951569,490581,759751,733761,198399,66943,16885,583799,966754,757917,952557,489732,758354,733490,195869,66673,16820,37.4
15/07/2017,18:53:45,581583,965059,755245,946826,483038,751201,730541,189023,65617,16509,581130,964496,753316,944995,481804,748389,730098,187822,65345,16448,580783,964695,754006,945662,482692,750350,730712,189287,65792,16584,37.5
15/07/2017,18:56:45,583042,966378,757640,954423,489934,761518,732367,197590,66935,16874,583300,967227,757260,953685,490526,760742,733212,197930,66919,16848,584088,967683,757670,953684,489750,759137,732323,195685,66522,16759,37.4
15/07/2017,18:59:45,581680,965903,756128,948647,485641,754575,730295,190981,66218,16650,582308,965308,757016,950018,487990,756064,731817,192363,66297,16662,582326,965348,755027,948400,485385,753716,731378,190393,66071,16631,37.6
15/07/2017,19:02:45,580292,962749,752284,942649,479435,746000,728932,182504,64924,16305,579937,962538,751907,941479,478340,744993,728311,182396,64888,16265,579964,962898,751651,941199,478097,745034,728830,184213,65374,16491,37.7
