#	datafile Path	C:\data\asr\17060530.dat
#	datafile Name	17060530.dat
#	Download date	2017-06-05  
#	download Time	20:02:17
#	Software name	(@) ASRdown_tools.c
#	software Revision	76
#	software date	2004 January 12
#	ASR software version	R392d.MSA
#
#	? location where ASR was operated ? 
#	ceh rooftop June 5 2017 L8 & RE1
#	
#	? weather conditions ? 
#	very nice all day, some wv gradient to the W
#	
#	? ASR operator name ? 
#	daaron all times utc
#	
#	? observations and comments ? 
#	
#	
------------------------------------------------------

TIME         12  :   0  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   5802	ambient	    0
CHANNEL         2   7470	barometer	65535
CHANNEL         3  12297	humidity	65535
CHANNEL         4  15294
CHANNEL         5  21133
CHANNEL         6  29113
CHANNEL         7  40588
CHANNEL         8  41064
CHANNEL         9   4466
CHANNEL        10  28431
TIME         12  :   1  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   6021	ambient	    0
CHANNEL         2   7645	barometer	65535
CHANNEL         3  12570	humidity	65535
CHANNEL         4  15566
CHANNEL         5  21298
CHANNEL         6  29325
CHANNEL         7  40752
CHANNEL         8  41151
CHANNEL         9   4542
CHANNEL        10  28462
TIME         12  :   2  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   6192	ambient	    0
CHANNEL         2   7794	barometer	65535
CHANNEL         3  12741	humidity	65535
CHANNEL         4  15665
CHANNEL         5  21506
CHANNEL         6  29414
CHANNEL         7  40911
CHANNEL         8  41224
CHANNEL         9   4609
CHANNEL        10  28574
TIME         12  :   3  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   6402	ambient	    0
CHANNEL         2   8001	barometer	65535
CHANNEL         3  13045	humidity	65535
CHANNEL         4  15856
CHANNEL         5  21668
CHANNEL         6  29674
CHANNEL         7  41014
CHANNEL         8  41361
CHANNEL         9   4688
CHANNEL        10  28591
TIME         12  :   4  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   6597	ambient	    0
CHANNEL         2   8179	barometer	65535
CHANNEL         3  13196	humidity	65535
CHANNEL         4  16010
CHANNEL         5  21839
CHANNEL         6  29791
CHANNEL         7  41148
CHANNEL         8  41490
CHANNEL         9   4773
CHANNEL        10  28703
TIME         12  :   5  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   6820	ambient	    0
CHANNEL         2   8383	barometer	65535
CHANNEL         3  13468	humidity	65535
CHANNEL         4  16170
CHANNEL         5  22046
CHANNEL         6  29961
CHANNEL         7  41320
CHANNEL         8  41542
CHANNEL         9   4856
CHANNEL        10  28738
TIME         12  :   6  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   7069	ambient	    0
CHANNEL         2   8594	barometer	65535
CHANNEL         3  13724	humidity	65535
CHANNEL         4  16442
CHANNEL         5  22252
CHANNEL         6  30158
CHANNEL         7  41501
CHANNEL         8  41690
CHANNEL         9   4945
CHANNEL        10  28830
TIME         12  :   7  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   7297	ambient	    0
CHANNEL         2   8829	barometer	65535
CHANNEL         3  14071	humidity	65535
CHANNEL         4  16752
CHANNEL         5  22565
CHANNEL         6  30465
CHANNEL         7  41729
CHANNEL         8  41841
CHANNEL         9   5041
CHANNEL        10  28890
TIME         12  :   8  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   7544	ambient	    0
CHANNEL         2   9000	barometer	65535
CHANNEL         3  14291	humidity	65535
CHANNEL         4  16894
CHANNEL         5  22651
CHANNEL         6  30544
CHANNEL         7  41864
CHANNEL         8  41967
CHANNEL         9   5128
CHANNEL        10  28929
TIME         12  :   9  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   7794	ambient	    0
CHANNEL         2   9186	barometer	65535
CHANNEL         3  14550	humidity	65535
CHANNEL         4  17040
CHANNEL         5  22833
CHANNEL         6  30672
CHANNEL         7  41984
CHANNEL         8  42065
CHANNEL         9   5227
CHANNEL        10  28939
TIME         12  :  10  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   8003	ambient	    0
CHANNEL         2   9417	barometer	65535
CHANNEL         3  14825	humidity	65535
CHANNEL         4  17197
CHANNEL         5  23015
CHANNEL         6  30913
CHANNEL         7  42215
CHANNEL         8  42232
CHANNEL         9   5331
CHANNEL        10  29097
TIME         12  :  11  :   4	DATE	2017-6-5
